generation,candidate,sign,success,steps_to_target,time_to_target,distance_traveled,collision_ticks,collision_onsets,reward,initial_distance,final_distance,flipped,ticks,seed
0,0,1,False,,,18.660079706019527,0,0,-3.1032454282632758,7.615114941723648,8.71836036998695,False,200,0
0,0,1,False,,,8.860301617028284,0,0,-4.239685666224374,10.152347547978732,12.39203321420313,False,200,1
0,0,-1,False,,,1.28121363035337,0,0,-2.1210403497035992,7.615114941723648,7.736155291427248,False,200,0
0,0,-1,False,,,7.50783113615892,0,0,-1.591477763724315,10.152347547978732,9.743825311703045,False,200,1
0,1,1,False,,,16.09952209525538,0,0,3.2076939149031207,7.615114941723648,2.4074210268205483,False,200,0
0,1,1,False,,,14.695066228801497,0,0,1.5416220586980025,10.152347547978732,6.6107254892807275,False,200,1
0,1,-1,False,,,18.77284082059606,0,0,-15.587582694635945,7.615114941723648,21.202697636359627,False,200,0
0,1,-1,False,,,13.738285105291663,0,0,-12.483665537251747,10.152347547978732,20.63601308523051,False,200,1
0,2,1,False,,,24.71102315091089,0,0,-15.437665260208371,7.615114941723648,21.052780201932002,False,200,0
0,2,1,False,,,21.730986771096106,0,0,-5.2599378883522965,10.152347547978732,13.412285436331064,False,200,1
0,2,-1,False,,,17.547965020860804,0,0,3.2399756463925846,7.615114941723648,2.37513929533109,False,200,0
0,2,-1,False,,,25.608333094720834,0,0,2.3438083630075104,10.152347547978732,5.808539184971227,False,200,1
0,3,1,False,,,1.7202058057354304,0,0,-2.1245612063348243,7.615114941723648,7.739676148058473,False,200,0
0,3,1,False,,,2.1780946301552953,0,0,-2.3043184171329636,10.152347547978732,10.4566659651117,False,200,1
0,3,-1,False,,,15.582509244559802,0,0,-1.5674813556893967,7.615114941723648,7.182596297413043,False,200,0
0,3,-1,False,,,8.912141175328879,0,0,-3.4550892835612177,10.152347547978732,11.60743683153997,False,200,1
0,4,1,False,,,16.612065937768364,0,0,0.6898519039510276,7.615114941723648,4.925263037772619,False,200,0
0,4,1,False,,,17.3836172760027,0,0,-0.6950226746688837,10.152347547978732,8.847370222647623,False,200,1
0,4,-1,False,,,11.892550897406469,0,0,-1.2496201318422029,7.615114941723648,6.864735073565859,False,200,0
0,4,-1,False,,,17.131349049466607,0,0,-1.2195919611021857,10.152347547978732,9.371939509080915,False,200,1
0,5,1,False,,,1.9448095910219239,0,0,-2.522053680357353,7.615114941723648,8.137168622081008,False,200,0
0,5,1,False,,,2.1717132644825385,0,0,-2.040034117094179,10.152347547978732,10.19238166507291,False,200,1
0,5,-1,False,,,9.269437439637219,0,0,-2.3483937098721963,7.615114941723648,7.963508651595853,False,200,0
0,5,-1,False,,,5.874453514555027,0,0,-2.3974382045456903,10.152347547978732,10.549785752524429,False,200,1
0,6,1,False,,,7.859370080349786,0,0,-5.074201590972707,7.615114941723648,10.689316532696383,False,200,0
0,6,1,False,,,10.04676458122889,0,0,-2.480763763177184,10.152347547978732,10.63311131115592,False,200,1
0,6,-1,False,,,11.229109268289712,0,0,-2.188815332377438,7.615114941723648,7.803930274101118,False,200,0
0,6,-1,False,,,23.971483282507233,0,0,-5.472677806168471,10.152347547978732,13.625025354147237,False,200,1
0,7,1,False,,,16.391503840913938,0,0,-1.7622008244682623,7.615114941723648,7.377315766191933,False,200,0
0,7,1,False,,,15.412845839957445,0,0,4.385427290324543,10.152347547978732,3.7669202576542116,False,200,1
0,7,-1,False,,,30.53823755522178,0,0,-6.68695353289918,7.615114941723648,12.302068474622835,False,200,0
0,7,-1,False,,,23.86047958518351,0,0,1.9638375957531464,10.152347547978732,6.1885099522255835,False,200,1
1,0,1,False,,,12.17809848942032,0,0,-1.955414101718224,7.872305478935019,7.827719580653241,False,200,1000
1,0,1,False,,,4.472536750908639,0,0,-2.685758046293953,6.294548299982861,6.980306346276824,False,200,1001
1,0,-1,False,,,19.483031201895223,0,0,2.190173083412454,7.872305478935019,3.682132395522596,False,200,1000
1,0,-1,False,,,27.717130724106305,0,0,0.6723236014215377,6.294548299982861,3.6222246985613213,False,200,1001
1,1,1,False,,,27.925459948090882,0,0,-5.708615441226414,7.872305478935019,11.58092092016145,False,200,1000
1,1,1,True,127,2.54,14.585658576802155,0,0,14.072746808369981,6.294548299982861,0.9518014916128841,False,127,1001
1,1,-1,False,,,12.245048212099881,0,0,-6.0412273596469985,7.872305478935019,11.91353283858204,False,200,1000
1,1,-1,False,,,12.383371574033491,0,0,-2.040102119164371,6.294548299982861,6.3346504191472315,False,200,1001
1,2,1,False,,,13.510989517500919,0,0,-3.202524920758546,7.872305478935019,9.07483039969358,False,200,1000
1,2,1,False,,,5.6330912920960365,0,0,-3.8808759723061073,6.294548299982861,8.175424272288996,False,200,1001
1,2,-1,False,,,9.64366528494419,0,0,-1.2141832560134191,7.872305478935019,7.0864887349484365,False,200,1000
1,2,-1,False,,,6.917374787976321,0,0,-2.340134256470106,6.294548299982861,6.634682556452973,False,200,1001
1,3,1,False,,,17.583967615745262,0,0,-6.349204527555154,7.872305478935019,12.221510006490199,False,200,1000
1,3,1,False,,,24.612733825904243,0,0,0.3387819256422353,6.294548299982861,3.955766374340631,False,200,1001
1,3,-1,False,,,18.006842344879832,0,0,-5.494477103612542,7.872305478935019,11.36678258254759,False,200,1000
1,3,-1,False,,,13.650510901031897,0,0,-8.06765794848749,6.294548299982861,12.362206248470386,False,200,1001
1,4,1,False,,,46.764076614693934,0,0,-11.73571977147616,7.872305478935019,17.608025250411213,False,200,1000
1,4,1,False,,,33.7811744204211,0,0,-25.900388544138472,6.294548299982861,30.19493684412123,False,200,1001
1,4,-1,False,,,32.728321819994555,0,0,1.1685711704386854,7.872305478935019,4.7037343084963315,False,200,1000
1,4,-1,False,,,26.558807255813043,0,0,-2.450606008055045,6.294548299982861,6.745154308037906,False,200,1001
1,5,1,False,,,24.596241633840847,0,0,-4.712862644623604,7.872305478935019,10.58516812355865,False,200,1000
1,5,1,False,,,29.40559790148429,0,0,-1.0689941557432188,6.294548299982861,5.363542455726084,False,200,1001
1,5,-1,False,,,7.717755682724961,0,0,-1.7174815617459749,7.872305478935019,7.589787040680992,False,200,1000
1,5,-1,False,,,5.681676252269951,0,0,-2.1996648616991266,6.294548299982861,6.49421316168199,False,200,1001
1,6,1,False,,,23.10591422051385,0,0,-12.103488588032056,7.872305478935019,17.975794066967104,False,200,1000
1,6,1,False,,,30.96635027036084,0,0,-15.333341466692145,6.294548299982861,19.627889766675043,False,200,1001
1,6,-1,False,,,32.624961795604555,0,0,1.0432762110901,7.872305478935019,4.829029267844917,False,200,1000
1,6,-1,False,,,32.3587537918521,0,0,-0.6880980566907203,6.294548299982861,4.98264635667358,False,200,1001
1,7,1,False,,,9.073970358101686,0,0,0.7359137315703292,7.872305478935019,5.136391747364701,False,200,1000
1,7,1,False,,,9.57077740556081,0,0,-6.501236387788829,6.294548299982861,10.79578468777172,False,200,1001
1,7,-1,False,,,18.858446176485987,0,0,-0.07396288130285296,7.872305478935019,5.9462683602378705,False,200,1000
1,7,-1,False,,,12.045502014529186,0,0,-4.791777041102134,6.294548299982861,9.086325341085015,False,200,1001
2,0,1,False,,,8.00243961435712,0,0,-3.728199701981856,9.171104247193439,10.899303949175318,False,200,2000
2,0,1,False,,,3.877304397242575,0,0,-1.5305340559046132,6.269351194101572,5.7998852500061835,False,200,2001
2,0,-1,False,,,13.598064893585727,0,0,-6.6234829805669255,9.171104247193439,13.7945872277604,False,200,2000
2,0,-1,False,,,15.595829345483397,0,0,-3.3928935569823695,6.269351194101572,7.662244751083951,False,200,2001
2,1,1,False,,,6.730341924540816,0,0,-2.412378001943484,9.171104247193439,9.58348224913693,False,200,2000
2,1,1,False,,,22.56649585731912,0,0,1.0820585244609624,6.269351194101572,3.1872926696406076,False,200,2001
2,1,-1,False,,,20.2737245260429,0,0,-1.213153590737905,9.171104247193439,8.384257837931342,False,200,2000
2,1,-1,False,,,30.12029300054998,0,0,-3.8875261207332397,6.269351194101572,8.156877314834823,False,200,2001
2,2,1,False,,,8.00263393179583,0,0,-7.099513319548761,9.171104247193439,14.270617566742228,False,200,2000
2,2,1,False,,,3.151360723167676,0,0,-1.0321800940519865,6.269351194101572,5.301531288153557,False,200,2001
2,2,-1,False,,,26.125216698480532,0,0,-3.3505374001722865,9.171104247193439,10.521641647365733,False,200,2000
2,2,-1,False,,,29.653775244317565,0,0,0.029469041829374633,6.269351194101572,4.2398821522721954,False,200,2001
2,3,1,False,,,13.659410065165918,0,0,2.61784238917185,9.171104247193439,4.553261858021593,False,200,2000
2,3,1,False,,,3.902529107818775,0,0,-1.4489546407425347,6.269351194101572,5.718305834844105,False,200,2001
2,3,-1,False,,,24.229320165097214,0,0,-5.14900796772588,9.171104247193439,12.320112214919348,False,200,2000
2,3,-1,False,,,28.157756236427595,0,0,-2.6755392303195924,6.269351194101572,6.9448904244211676,False,200,2001
2,4,1,False,,,12.195753700048305,0,0,-11.847368584134209,9.171104247193439,19.01847283132768,False,200,2000
2,4,1,False,,,10.747142878931255,0,0,0.19600880049183167,6.269351194101572,4.073342393609749,False,200,2001
2,4,-1,False,,,33.036560661406206,0,0,-2.4934364001571288,9.171104247193439,9.664540647350579,False,200,2000
2,4,-1,False,,,39.21015858160071,0,0,3.0333410062421198,6.269351194101572,1.2360101878594767,False,200,2001
2,5,1,False,,,20.308192562002077,0,0,1.779386692562564,9.171104247193439,5.3917175546308735,False,200,2000
