generation,wall_s,mean_fitness,max_fitness,train_success_rate,theta_norm,eval_success_rate,eval_mean_reward,eval_mean_time_to_target,eval_mean_collision_ticks
0,77.0,-2.3096847494718054,2.7433703317200706,0.0,3.755226040115259,0.0,-1.3843363285288814,,0.0
1,48.4,-3.678540729806966,-0.5206328362247061,0.0,3.7642240949562917,,,,
2,47.8,-0.3072130197025269,5.240408745457359,0.03125,3.7955057161630186,,,,
3,49.5,-1.8261365837557144,2.3938330527772727,0.0,3.8645196965459987,,,,
4,53.8,-0.7781263749548814,3.426896410995173,0.0,3.9501186423746675,,,,
5,95.7,1.4824867415873646,10.555635604704355,0.03125,4.035673837475768,0.045454545454545456,1.3836911546549968,1.82,0.0
6,50.3,-2.9339878232412255,4.163320353964626,0.0,4.115130245404346,,,,
7,49.6,3.8902879792844316,9.813815911438901,0.21875,4.194540796433193,,,,
8,48.8,2.8695138690317235,8.174562035984563,0.21875,4.269207315234657,,,,
9,48.0,-2.0301700783200087,2.8759812992037794,0.0,4.344858217036983,,,,
10,101.8,-1.2252012062357984,2.9011686466231827,0.0,4.42940637364519,0.13636363636363635,1.6996055615770687,2.226666666666667,0.0
11,60.0,1.0663121082927922,7.701973031776949,0.09375,4.513390405218828,,,,
12,65.6,4.061833614590249,11.093293288179211,0.125,4.589891340270025,,,,
13,61.4,4.335006340891276,10.623143854522024,0.25,4.674992988296838,,,,
14,63.4,5.909951317237862,16.885872034862636,0.25,4.7571026179023645,,,,
15,118.8,5.888747370441694,15.297377498310599,0.3125,4.828630669992608,0.5909090909090909,10.61302536178464,2.566153846153846,0.0
16,59.4,4.825330015016036,11.664444355679798,0.15625,4.908216443983149,,,,
17,65.3,6.730068969594627,16.375635453861264,0.21875,4.9796736565338655,,,,
18,57.8,8.991660761426452,15.25474721419901,0.5,5.04493625569505,,,,
19,61.5,8.711155898850755,15.330471897835928,0.46875,5.110604366121044,,,,
20,102.5,8.768235148495583,17.912980445539088,0.3125,5.173721190367594,0.7272727272727273,12.925081511582285,2.2375,0.0
21,59.0,9.500639236704732,16.82008550294143,0.46875,5.243917533172961,,,,
22,57.8,7.9275684060823215,14.445661890287187,0.46875,5.308471783177122,,,,
23,62.0,6.5741893626278864,16.132522304526937,0.21875,5.3673202039626675,,,,
24,62.3,9.019742546510594,16.727976939987656,0.34375,5.42576339814123,,,,
25,122.7,9.790971749455833,16.159222845653325,0.46875,5.480929869904252,0.5909090909090909,11.645044587397763,2.14,0.0
26,76.3,11.981677191872372,17.704639635405808,0.53125,5.536260224993323,,,,
27,69.9,8.031753143417308,17.240479989838995,0.21875,5.596045834912103,,,,
28,69.1,8.99011609689744,15.547567992783797,0.46875,5.650337115766709,,,,
29,57.9,12.265979461579512,17.106146435943053,0.59375,5.695681027605445,,,,
30,499.9,9.18757042797006,16.687474378089885,0.375,5.742524250006069,0.7272727272727273,13.234773778634592,2.28375,0.0
31,70.9,13.454364278097726,15.801243329286311,0.8125,5.792473760113992,,,,
32,46.0,8.778317186585994,16.014661539387667,0.4375,5.837757011217112,,,,
33,41.8,11.931069082435805,15.271127536407882,0.71875,5.88528981951293,,,,
34,49.4,10.005291873583964,16.45480901443845,0.4375,5.935126641833064,,,,
35,64.4,13.932051837737001,15.228506771724232,0.90625,5.9846974283350445,0.9090909090909091,15.319959368547579,2.04,0.0
36,56.0,11.161355700083597,15.820938676263186,0.59375,6.028810505579779,,,,
37,51.2,11.735141691040926,16.827451437686516,0.5625,6.075415702072035,,,,
38,53.7,11.355548015654048,15.656924944424041,0.625,6.124728802658192,,,,
39,47.6,12.01647657752223,16.326313763641693,0.625,6.171247912116285,,,,
40,84.8,13.611200013478877,15.84411314241387,0.84375,6.221432948169716,0.7727272727272727,13.576832586131133,2.4,0.0
41,44.2,10.28048993824352,14.927714064770363,0.65625,6.275625237938318,,,,
42,45.0,13.244964420714417,15.52951003091836,0.8125,6.335062877292403,,,,
43,46.5,12.882188028316747,17.90336849726876,0.625,6.385331532564102,,,,
44,41.5,12.65534876001053,16.298116622125633,0.6875,6.431421851754323,,,,
45,71.2,11.291729240242756,15.869278196599133,0.59375,6.482902805562502,0.9090909090909091,15.148963520195396,2.2660000000000005,0.0
46,50.2,9.281946642505275,15.749496271609424,0.4375,6.532761187929508,,,,
47,476.4,13.723165285977604,15.607186722942817,0.84375,6.588217058883245,,,,
48,,,,,,0.8181818181818182,14.140265133385451,2.3022222222222224,0.0
