generation,wall_s,mean_fitness,max_fitness,train_success_rate,theta_norm,eval_success_rate,eval_mean_reward,eval_mean_time_to_target,eval_mean_collision_ticks
0,86.0,-4.333797896305384,1.962350024926772,0.0,3.752548018306583,0.0,-1.0725969821909596,,0.0
1,52.4,-3.0829677781362284,0.0918417081791677,0.03125,3.7381448792535457,,,,
2,54.3,-1.5302708210082525,2.290105931874252,0.03125,3.780594336197367,,,,
3,55.0,-1.9347832895449946,0.19095723434895684,0.0,3.824627430600852,,,,
4,55.8,-1.276127061603738,8.757149745748437,0.03125,3.8879913424802255,,,,
5,176.8,0.1270977417608481,4.417212846479497,0.0625,3.9706661667887304,0.13636363636363635,-0.3180197717885085,2.1,0.0
6,44.7,-5.003749492164525,1.0049920115000668,0.0,4.0556344016855945,,,,
7,96.6,-2.818775014191441,2.9257948618026672,0.03125,4.140587136500433,,,,
8,938.6,-2.106776586821094,6.7570872208764,0.09375,4.243322596657155,,,,
9,321.4,-2.8349576473768017,1.6658998771355207,0.0,4.340422481167377,,,,
10,512.8,-3.936794964091752,0.5421954814053604,0.0,4.438101964446394,0.045454545454545456,-0.6929166525037945,2.24,0.0
11,67.3,2.8643087322106116,9.178970796112187,0.125,4.5376675430553846,,,,
12,71.1,-0.1535521771467389,2.4190355553477874,0.0,4.629929911805852,,,,
13,469.7,0.6872587049245434,6.92011402485938,0.0625,4.718732233242286,,,,
14,73.4,2.077668591134657,9.315861778328278,0.125,4.793515311699055,,,,
15,183.9,4.121478388846869,14.527576432292527,0.1875,4.86981759151822,0.18181818181818182,4.80130712417122,2.515,0.0
16,76.8,2.2575174107649656,8.778673378463557,0.03125,4.953011185810369,,,,
17,262.7,1.5455354730492805,8.207460145675515,0.03125,5.033695829344196,,,,
18,61.7,8.111415847952895,15.809366686747499,0.46875,5.120961388009653,,,,
19,465.4,8.550376260379208,15.449033990894382,0.5,5.211646366280459,,,,
20,207.2,5.3197250477196505,11.105369736606809,0.0625,5.304962301758288,0.3181818181818182,7.081333129700044,2.2514285714285713,0.0
21,67.9,6.667159482278267,16.934945560229757,0.28125,5.386219469040627,,,,
22,61.9,6.772480291436172,14.776471541014638,0.46875,5.464869983394041,,,,
23,941.1,4.778092449219802,15.939272972123625,0.1875,5.541735846587076,,,,
24,118.6,7.067387623348948,17.347623462474587,0.25,5.620007955760859,,,,
25,109.9,4.40204885756245,15.618263098680522,0.21875,5.690776556249217,0.2727272727272727,6.3663128261243624,2.4566666666666666,0.0
26,63.2,7.290906491184344,17.925543749690043,0.28125,5.755681471177042,,,,
27,63.1,6.858640303839673,18.46674058829703,0.375,5.828052100098422,,,,
28,188.4,6.307317953327735,14.739825170565936,0.40625,5.894580561697073,,,,
29,58.9,11.513454805321743,17.949781203856148,0.625,5.96582555834171,,,,
30,108.8,6.55529193401409,16.343307103110938,0.3125,6.0281074610194025,0.8636363636363636,14.103321770922356,2.072631578947368,0.0
31,57.2,10.54139660542663,15.875148266830315,0.65625,6.088518833068458,,,,
32,68.0,5.773197507839094,14.372560978605904,0.375,6.148836894142855,,,,
33,188.5,9.453779664664076,15.223001133515869,0.53125,6.215395531540521,,,,
34,55.2,7.942207364676577,15.724210107928483,0.46875,6.277420069147156,,,,
35,77.7,9.57554226038987,15.638555337337738,0.6875,6.336348480242622,0.6818181818181818,12.059575251040089,1.9479999999999997,0.0
36,55.0,10.811404220779213,15.896943188300678,0.625,6.390213213564782,,,,
37,65.3,8.037075941903677,15.208156965182715,0.4375,6.444699168435541,,,,
38,52.9,11.08313105529919,14.503434988713899,0.71875,6.502291016145895,,,,
39,52.8,11.65487573650637,17.7319493537735,0.59375,6.560829323572575,,,,
40,100.3,7.709334165761988,14.739251025166514,0.40625,6.62612215590597,0.36363636363636365,7.915933124796231,2.4775,0.0
41,59.2,6.5163366926563455,14.65516569632584,0.34375,6.680371145315085,,,,
42,57.6,8.341596744058645,14.264679096786079,0.53125,6.731027038618722,,,,
43,107.5,9.032328227883923,16.871844725431615,0.375,6.782780431178603,,,,
44,69.3,8.349851679724146,15.372544408653079,0.4375,6.8298002881499835,,,,
45,109.6,8.24757308365071,14.735282196725173,0.46875,6.872103388965737,0.4090909090909091,8.173789630021586,2.3911111111111114,0.0
46,50.7,10.76822678633069,14.77379128938891,0.6875,6.910807953316034,,,,
47,58.2,6.158257975438582,14.144134432742002,0.34375,6.953303696705058,,,,
48,,,,,,0.45454545454545453,8.744834428765703,2.246,0.0
