success,steps_to_target,time_to_target,distance_traveled,collision_ticks,collision_onsets,reward,initial_distance,final_distance,flipped,ticks,seed
True,32,0.64,8.610751940067903,0,0,16.78492881961082,7.993510825064957,0.8885820054541392,False,32,20000000
True,113,2.2600000000000002,25.86761129173773,0,0,17.021275371713692,9.119189125199199,0.9679137534855169,False,113,20000001
True,37,0.74,9.231332874802552,0,0,15.296165207170985,6.55992429772596,0.8937590905549757,False,37,20000002
True,56,1.12,13.929021867542819,0,0,17.945034028658064,9.445931800142175,0.9408977714841138,False,56,20000003
True,36,0.72,9.281117983754115,0,0,16.215359672175904,7.517713822544156,0.9423541503682533,False,36,20000004
True,88,1.76,18.416174322585903,0,0,16.46941272515211,8.193424596630653,0.8440118714785415,False,88,20000005
True,54,1.08,13.380522248485105,0,0,17.63520289348711,9.156783170103347,0.9815802766162374,False,54,20000006
True,31,0.62,7.665438398182038,0,0,14.651116433822606,5.760341183484346,0.7992247496617405,False,31,20000007
True,130,2.6,26.722854881435957,0,0,15.75689706983336,7.934698796348548,0.8778017265152034,False,130,20000008
True,29,0.58,7.550857954941109,0,0,15.745671065737557,6.8294337522612905,0.7937626865237339,False,29,20000009
True,68,1.36,17.301983034838173,0,0,16.751628468205425,8.30886444870778,0.8772359805023578,False,68,20000010
True,32,0.64,8.392994702477981,0,0,15.908514692019619,7.154461665732207,0.9259469737125892,False,32,20000011
