generation,wall_s,mean_fitness,max_fitness,train_success_rate,theta_norm,eval_success_rate,eval_mean_reward,eval_mean_time_to_target,eval_mean_collision_ticks
0,76.6,-31.434846175892094,0.4073826910734857,0.15625,12.010868992744607,0.2727272727272727,-7.850296651454329,0.7333333333333333,0.0
1,54.9,-32.09045674597662,-4.067891359543294,0.03125,11.93182790794982,,,,
2,55.3,-33.38740102362416,-23.657967392992262,0.0,11.899784633155408,,,,
3,54.3,-29.51877474693061,-21.691323055407864,0.0,11.891151194914064,,,,
4,53.2,-28.315500291645876,-26.48591595486878,0.0,11.89687268520484,,,,
5,87.5,-20.2532062243479,-20.2532062243479,0.0,11.915922017869107,0.13636363636363635,-20.99737932735512,0.8666666666666667,0.0
6,55.4,-32.42379800826954,-32.42379800826954,0.0,11.940919818014514,,,,
7,57.8,-21.458153162829404,-21.458153162829404,0.0,11.969266339363203,,,,
8,57.0,-27.1960949085474,-27.1960949085474,0.0,12.000842084198908,,,,
9,66.4,-28.221867503292913,-28.221867503292913,0.0,12.031251520474799,,,,
10,140.1,-32.720998463614585,-32.720998463614585,0.0,12.062103647214004,0.13636363636363635,-20.99737932735512,0.8666666666666667,0.0
11,84.5,-22.28107517215576,-22.28107517215576,0.0,12.092027090819682,,,,
12,85.5,-25.439643582820544,-25.439643582820544,0.0,12.122564273313577,,,,
13,89.1,-23.667180967737014,-23.667180967737014,0.0,12.15275408765881,,,,
14,77.0,-21.5164103775203,-21.5164103775203,0.0,12.181527618211431,,,,
15,114.7,-27.39842674702195,-27.39842674702195,0.0,12.210002958605132,0.13636363636363635,-20.99737932735512,0.8666666666666667,0.0
16,62.3,-23.870740743601544,-23.870740743601544,0.0,12.239132131621124,,,,
17,61.4,-28.86132317929679,-28.86132317929679,0.0,12.267189535791529,,,,
18,60.8,-23.565765553270744,-23.565765553270744,0.0,12.294162980476894,,,,
19,64.1,-24.7333099484972,-24.7333099484972,0.0,12.32068405337545,,,,
