generation,wall_s,mean_fitness,max_fitness,train_success_rate,theta_norm,eval_success_rate,eval_mean_reward,eval_mean_time_to_target,eval_mean_collision_ticks
0,101.2,-3.328181408020299,1.020604367342755,0.0,9.71920174926231,0.0,-4.147173049703138,,0.0
1,63.6,-6.4818880647771,7.315252262231318,0.03125,9.689607729264408,,,,
2,66.3,-7.365818029413741,6.301425547968072,0.03125,9.701152154671137,,,,
3,70.0,-18.162468134961287,-2.491905999401641,0.03125,9.709239761461093,,,,
4,65.1,-7.085844725244867,2.1688542199799183,0.03125,9.731242656942273,,,,
5,125.4,-16.959886230290984,0.3299914543727237,0.03125,9.780568920718933,0.0,-11.193381001238151,,0.0
6,66.9,-15.055819822477666,-2.222477227044788,0.03125,9.852973184783725,,,,
7,71.0,-16.404427464263378,-1.8189497385176205,0.0,9.93156053316258,,,,
8,69.7,-10.339354145114507,-0.2364676408086444,0.0,10.010774812221406,,,,
9,70.3,-10.750887636466786,-2.489857263704166,0.0,10.094138360550653,,,,
10,112.6,-9.779824221053921,-5.451614884858542,0.0,10.180123117534789,0.0,-6.680126522340714,,0.0
11,68.3,-4.377832592707236,-1.0050703366167735,0.0,10.268397954589156,,,,
12,68.3,-6.819950361049509,2.075596129670272,0.0,10.360843619215856,,,,
13,71.2,-6.146355332528033,1.330755302079114,0.0625,10.454267914113302,,,,
14,75.8,-8.883077910095967,-2.02306420140527,0.0,10.546988831726518,,,,
15,102.4,-4.073805579839102,1.532699634059333,0.0,10.628106984579047,0.0,-7.2192555134722305,,0.0
16,56.9,-3.7406141049049193,-0.05935294571171901,0.0,10.697278122061723,,,,
17,57.6,-8.560474651280446,-1.7866684162233242,0.0,10.758604870652261,,,,
18,66.9,-3.052304795657501,-0.06577861893246129,0.0,10.811353927521909,,,,
19,64.2,-6.800319952635126,-2.086199625975708,0.0,10.870715523841538,,,,
20,106.2,-1.293674565107621,8.692255500067542,0.03125,10.936881037678951,0.0,-3.4387282537177644,,0.0
21,66.7,-2.9426735059912286,4.888039853017185,0.03125,11.002677841633005,,,,
22,68.8,-3.5692128119271147,6.880239830932643,0.03125,11.06816280778103,,,,
23,70.3,-2.888176425174388,4.768348615626445,0.0625,11.132934586348998,,,,
24,64.9,-0.6134998206508828,3.2710934863499657,0.0,11.20403049079678,,,,
25,114.0,-1.8114993031266329,4.705635082066714,0.03125,11.270142124887629,0.0,-2.456067230223005,,0.0
26,68.7,-1.185418216581211,1.8739555025137655,0.0,11.333064744939023,,,,
27,76.0,1.1285395771682578,17.49840605227038,0.0625,11.394561452053605,,,,
28,75.4,-2.350884291113866,2.1083420436222604,0.0,11.443156717075913,,,,
29,68.2,-0.7035004861591198,1.2681024260967833,0.0,11.495875231464026,,,,
30,105.8,-0.0394113407467607,5.152301040987318,0.03125,11.545641373081565,0.0,-0.4022416967577712,,0.0
31,66.2,2.41142606856845,15.594562435403642,0.09375,11.595480993544134,,,,
32,65.3,0.35674138937219513,16.552157502184166,0.0625,11.638215291349317,,,,
33,69.7,0.6938949174197994,9.252913869213536,0.03125,11.683230246753679,,,,
34,60.8,0.8404271284950794,8.57117136431203,0.03125,11.730154485438026,,,,
35,110.7,6.386717492745397,14.971970343646067,0.375,11.777609335904064,0.0,2.143369163036878,,0.0
36,61.7,0.8133210487402487,5.927554212641742,0.03125,11.821130837697519,,,,
37,63.4,-2.6795213577425354,3.302900087909871,0.0,11.851945526628164,,,,
38,68.1,-1.6651924132302527,3.6064141228333537,0.0,11.893682189280703,,,,
39,64.2,1.5680924151240518,4.920701715187338,0.0,11.93777847557773,,,,
40,99.8,0.22122619517799835,15.585439652873497,0.21875,11.988826874369167,0.3181818181818182,6.503340989592709,2.225714285714286,0.0
41,63.1,4.310899830551554,14.479586183613417,0.28125,12.045938727758138,,,,
42,68.9,4.227229317045087,15.877101734577803,0.25,12.099451028815128,,,,
43,58.3,7.484076008661264,17.8116164912733,0.28125,12.162919653270432,,,,
44,70.5,7.405906383145838,16.35093093492163,0.34375,12.224279291868106,,,,
45,130.7,9.707742357449572,15.897133590096715,0.53125,12.27991290530625,0.3181818181818182,7.681702689185325,1.3457142857142854,0.0
46,70.7,9.310518033604291,16.361609174144682,0.46875,12.33594347366522,,,,
47,72.7,9.187896860937958,16.35259373190459,0.5,12.394814005479388,,,,
48,,,,,,0.7272727272727273,12.837366353172534,2.19875,0.0
