generation,wall_s,mean_fitness,max_fitness,train_success_rate,theta_norm,eval_success_rate,eval_mean_reward,eval_mean_time_to_target,eval_mean_collision_ticks
0,105.4,-10.461150492086485,5.435494635725018,0.03125,9.795462553285038,0.0,-1.765039255267559,,0.0
1,58.7,-1.3931832150006116,15.396845887720083,0.21875,9.81412922436632,,,,
2,59.3,-4.166796695507151,8.889459831126086,0.125,9.843432898764064,,,,
3,57.3,3.0577938493897223,16.675241397090375,0.3125,9.910736111261922,,,,
4,64.8,1.614704667656542,17.075261687233652,0.25,9.980506457211888,,,,
5,88.8,0.4196184308915556,17.093001500500044,0.40625,10.047266217222875,0.5909090909090909,11.113007833797253,1.9307692307692308,0.0
6,59.5,3.7081850988460676,17.163217735435254,0.25,10.119285346399577,,,,
7,54.1,8.781377017819167,17.552499411372843,0.53125,10.196411180387564,,,,
8,53.0,8.419620375409865,16.034707955281224,0.6875,10.276312869282203,,,,
9,51.9,10.527650337089678,16.61454895260187,0.71875,10.353223116291826,,,,
10,80.6,11.056979826277196,16.223458692786892,0.6875,10.43029260111838,0.9545454545454546,15.796589284152269,1.971428571428571,0.0
11,49.3,6.612484336854884,17.628567809110262,0.5,10.50317108972975,,,,
12,48.9,12.905924421892541,17.312574723381875,0.71875,10.57142023359827,,,,
13,55.3,9.662730153132383,16.467126854218883,0.65625,10.62097376231162,,,,
14,50.7,13.382937878518053,17.18538846996129,0.78125,10.669633198640224,,,,
15,60.8,15.050426392802551,16.169967826459686,0.9375,10.72857981159613,1.0,16.56595371269249,1.5690909090909093,0.0
16,46.5,10.950997975247546,17.84661999846932,0.71875,10.788414571765276,,,,
17,34.2,14.884484359379936,17.45111843273309,0.84375,10.851876389112883,,,,
18,45.2,10.308871463511792,15.73236682925992,0.75,10.90891196640334,,,,
19,44.0,11.669238189323785,16.025413039842785,0.75,10.959859821379798,,,,
20,64.8,13.759303822532296,18.35013515424481,0.71875,11.018243614383413,1.0,16.752224397463404,1.1400000000000003,0.0
21,37.5,11.90644491287949,17.385672306987594,0.75,11.076491339429415,,,,
22,33.5,14.192979540908643,15.29319808664838,0.9375,11.125111747697948,,,,
23,30.7,14.169254457779576,17.049578610683156,0.90625,11.170966497828406,,,,
24,47.0,12.918577025096598,17.3028540048593,0.78125,11.220362097380471,,,,
25,54.0,14.974317172532038,17.04950776086593,0.90625,11.268128104636705,1.0,16.72993468710595,1.1618181818181819,0.0
26,43.5,12.996504303855222,18.27974695547048,0.75,11.314559778434953,,,,
27,33.2,14.033168829906746,18.130196323785725,0.78125,11.353338774183957,,,,
28,54.2,15.470427305397623,16.1580498248193,0.96875,11.386667713421417,,,,
29,192.6,17.29367632797358,17.580940620178367,1.0,11.416856229846378,,,,
30,260.3,16.893339155778143,17.55000224589667,0.96875,11.440131298940456,1.0,16.6918533725126,1.260909090909091,0.0
31,203.2,12.441234520569914,16.04705412879225,0.8125,11.468874805294348,,,,
32,143.7,16.55886540726617,16.752323093166524,1.0,11.48965883472816,,,,
33,140.3,13.262707112096408,16.079088219357615,0.875,11.512498533390586,,,,
34,130.5,15.853249358792333,17.344946021928457,0.9375,11.544834337268608,,,,
35,240.4,13.332650746555807,15.491961214330903,0.90625,11.573771104762532,1.0,16.81125791786322,1.0827272727272725,0.0
36,137.0,13.667286016597298,16.59992199713247,0.90625,11.609649074504569,,,,
37,178.4,12.928878039744381,17.603235724963362,0.8125,11.638156388830703,,,,
38,150.3,15.797514413515376,16.367764116206793,0.96875,11.658586600737628,,,,
39,122.1,15.451459284559911,17.43569504403182,0.90625,11.677557616745704,,,,
40,248.2,7.638311338887168,16.198627707136104,0.71875,11.694084612739225,1.0,16.835776562743142,1.0218181818181817,0.0
41,126.7,13.622788420071874,15.55815283014493,0.875,11.71058137021307,,,,
42,120.5,15.610338765557643,16.224175665655082,0.96875,11.734028688213748,,,,
43,250.9,11.084370372063372,17.659254042858194,0.59375,11.75505494253111,,,,
44,195.9,14.869695524842697,16.776305381577433,0.90625,11.783281304438512,,,,
45,295.8,13.763571215701498,16.425072337604508,0.875,11.810066091396111,1.0,16.795431498395473,1.13,0.0
46,152.8,15.410716403034112,16.59684871059013,0.9375,11.844330126889908,,,,
47,130.6,13.951479587422252,16.373039235120423,0.9375,11.877362887679652,,,,
48,,,,,,0.9545454545454546,16.237543977116704,1.0704761904761906,0.0
