success,steps_to_target,time_to_target,distance_traveled,collision_ticks,collision_onsets,reward,initial_distance,final_distance,flipped,ticks,seed
False,,,29.806485538971142,27,3,-9.595360310681134,7.993510825064957,2.588871135746082,False,150,20000000
False,,,34.7108890355743,0,0,5.661215944261906,9.119189125199199,1.9579731809373029,False,150,20000001
False,,,10.406232841561394,141,1,-70.48326594333392,6.55992429772596,5.043190241059879,False,150,20000002
False,,,10.360086701279565,108,5,-50.99347531993872,9.445931800142175,4.93940712008088,False,150,20000003
False,,,33.66994822138678,0,0,4.7150749958868206,7.517713822544156,1.3026388266573428,False,150,20000004
False,,,27.757910614745157,103,24,-48.04027284813145,8.193424596630653,3.2336974447621007,False,150,20000005
False,,,26.92680081176689,45,17,-17.403509811263913,9.156783170103347,2.560292981367265,False,150,20000006
False,,,5.549511668714897,139,2,-70.17182112034807,5.760341183484346,4.932162303832402,False,150,20000007
False,,,22.49445968862337,73,12,-31.710679094496708,7.934698796348548,1.6453778908452685,False,150,20000008
False,,,4.782312642787409,138,2,-68.76411851976957,6.8294337522612905,5.093552272030863,False,150,20000009
False,,,16.27531648949824,89,9,-43.0928049649311,8.30886444870778,5.40166941363887,False,150,20000010
False,,,34.51995653838133,45,10,-19.06615916086762,7.154461665732207,2.220620826599829,False,150,20000011
True,71,1.42,16.532089351196984,45,2,-6.820040324385042,7.370961660971782,0.9810019853568226,False,71,20000012
False,,,39.68952856838535,81,12,-36.51431189448945,8.298035193508717,2.8123470879981443,False,150,20000013
False,,,33.35806598762762,78,17,-36.38292182270021,7.905915360485305,3.7888371831855223,False,150,20000014
True,100,2.0,21.867451787264855,0,0,16.202121888338795,8.129587756147496,0.9274658678087093,False,100,20000015
False,,,18.284267322046173,89,13,-41.56182760053467,7.899733280425887,3.461560880960552,False,150,20000016
False,,,47.9600867017827,107,2,-54.92956805624783,7.77029685122001,7.699864907467811,False,150,20000017
True,137,2.74,28.534008364303187,8,2,9.25595306707917,5.567529177288772,0.9415761102096073,False,137,20000018
False,,,55.07632517596783,69,16,-31.599526430062802,8.042937324292643,3.6424637543554312,False,150,20000019
False,,,32.734645092395304,0,0,5.989063102566599,8.794407458923494,1.305344356356902,False,150,20000020
False,,,36.58242154640548,88,16,-41.48722205158956,5.522545397832203,1.5097674494217534,False,150,20000021
False,,,18.764086020070145,85,16,-39.674174739486574,6.341596701968583,2.0157714414551684,False,150,20000022
True,57,1.1400000000000001,12.809349304022936,10,2,10.707680615562952,7.107377778680274,0.8296971631173226,False,57,20000023
False,,,40.40099887744025,98,23,-44.320478627995485,8.511536606858057,2.3320152348535537,False,150,20000024
False,,,32.74151992365847,77,18,-35.61353926801685,8.583225837774748,4.196765105791602,False,150,20000025
False,,,45.634935017049955,123,6,-62.587465890638825,9.411821185002157,8.999287075640892,False,150,20000026
False,,,44.59334185401677,105,20,-49.71216524113935,7.244358577198519,2.956523818337888,False,150,20000027
False,,,11.128285855368704,100,6,-48.67720404317493,7.155834489444655,4.333038532619558,False,150,20000028
False,,,29.55613985384225,13,1,-3.429609494039041,6.394811996052588,1.824421490091639,False,150,20000029
False,,,46.20700372758499,84,2,-41.196538938049365,9.412168322226542,7.108707260275896,False,150,20000030
False,,,32.69631199182557,0,0,5.76788223816907,8.746797339305987,1.4789151011369188,False,150,20000031
False,,,30.263634330815396,11,4,-2.5370282413324556,5.7645345954950304,1.3015628368275027,False,150,20000032
True,51,1.02,12.30169882903712,0,0,15.219878586620311,6.64422500217461,0.9143464155543003,False,51,20000033
True,67,1.34,14.71168164560193,0,0,15.549046646443951,7.180478313106706,0.961431666662755,False,67,20000034
False,,,17.840813018977226,75,2,-33.90141712755368,9.967015174768125,4.8684323023218,False,150,20000035
False,,,44.66110294860645,112,4,-56.53252897159844,8.137592521658373,7.170121493256779,False,150,20000036
False,,,28.798179031352515,7,2,0.8490106442636742,7.812673585604763,1.9636629413410884,False,150,20000037
False,,,26.647306687198807,50,5,-22.342079852172322,7.970969881420623,3.813049733592915,False,150,20000038
False,,,8.669304948760901,133,4,-64.05478774855793,8.294181970430149,4.3489697189880445,False,150,20000039
False,,,48.07503100877766,126,8,-62.5983088430635,8.240074593481566,6.338383436545067,False,150,20000040
True,80,1.6,19.323128934433807,0,0,17.193684117526736,8.938223429553288,0.9445393120265554,False,80,20000041
False,,,42.15260591492246,81,14,-38.58470080056748,8.651658428557704,5.236359229125176,False,150,20000042
False,,,52.25639202079732,116,5,-57.3601531246183,10.328338801159004,8.188491925777278,False,150,20000043
