success,steps_to_target,time_to_target,distance_traveled,collision_ticks,collision_onsets,reward,initial_distance,final_distance,flipped,ticks,seed
False,,,26.922417587804667,0,0,3.1533918557374894,7.993510825064957,3.2660886886142957,False,150,20000000
False,,,21.020031955593346,0,0,-2.9150125596456102,9.119189125199199,8.321127181904382,False,150,20000001
False,,,5.117966239634877,139,1,-67.47301982646921,6.55992429772596,5.514493308438106,False,150,20000002
False,,,27.312860235380356,45,10,-21.829097601185993,9.445931800142175,4.721832665440894,False,150,20000003
False,,,28.893725410309692,0,0,-0.19248614693477967,7.517713822544156,6.074684356256275,False,150,20000004
False,,,25.43183827919868,110,19,-55.83283482337693,8.193424596630653,4.680342336590728,False,150,20000005
False,,,28.860190215648107,52,8,-26.557733655877485,9.156783170103347,6.762937770270259,False,150,20000006
False,,,6.077238940757889,118,12,-57.344968113547765,5.760341183484346,4.6471997161822785,False,150,20000007
False,,,28.314011498036223,0,0,-0.10591312047800464,7.934698796348548,6.003922782746461,False,150,20000008
False,,,7.598976339079698,14,1,-6.096793992292001,6.8294337522612905,6.04198552541803,True,19,20000009
False,,,32.063377783107974,119,3,-62.691642487501866,8.30886444870778,7.139334777583574,False,150,20000010
True,26,0.52,7.772512144934133,0,0,16.60983699080777,7.154461665732207,0.7814782258288822,False,26,20000011
True,56,1.12,14.575082829662387,5,2,12.465089141088333,7.370961660971782,0.8279743107425679,False,56,20000012
False,,,22.70229015692869,0,0,3.130629812952231,8.298035193508717,3.024401421672337,False,150,20000013
False,,,21.618297666512493,0,0,2.9301207393376094,7.905915360485305,2.964426967966382,False,150,20000014
False,,,16.502310292303356,0,0,-5.08136934612093,8.129587756147496,9.689029199348521,False,150,20000015
False,,,26.867471203549186,113,20,-56.11516508719636,7.899733280425887,4.503117094098944,False,150,20000016
False,,,24.544996643940575,0,0,1.2089894199869966,7.77029685122001,4.835990079689293,False,150,20000017
False,,,4.412859501454427,139,2,-68.52917866146295,5.567529177288772,4.24979908125686,False,150,20000018
False,,,26.18575519129012,93,13,-43.97655892205649,8.042937324292643,1.840822806952032,False,150,20000019
False,,,10.957753397025707,127,4,-58.68104139677012,8.794407458923494,5.238671213589171,False,150,20000020
False,,,15.68790860050547,124,14,-58.631454959109135,5.522545397832203,1.7453690352078168,False,150,20000021
True,32,0.64,8.615336488805651,0,0,15.81023384181777,6.341596701968583,0.6651553927891729,False,32,20000022
False,,,26.32472124792742,0,0,-4.800782118535792,7.107377778680274,8.638709468894577,False,150,20000023
False,,,30.129406405152366,33,10,-20.2460024464097,8.511536606858057,8.943815611174967,False,150,20000024
False,,,23.13826639489647,0,0,3.8223810231074817,8.583225837774748,2.816342000558599,False,150,20000025
False,,,29.31502036492206,0,0,3.1206094107606455,9.411821185002157,4.802219741239886,False,150,20000026
False,,,31.72702967832499,0,0,3.17417461967514,7.244358577198519,2.2821189964698636,False,150,20000027
False,,,23.325255021089443,78,10,-40.00935473266902,7.155834489444655,4.30207992353761,False,150,20000028
True,65,1.3,15.99278624211471,0,0,15.00415711840795,6.394811996052588,0.9643871741753031,False,65,20000029
True,43,0.86,12.63870032898934,2,1,17.72399026552858,9.412168322226542,0.9061379136523959,False,43,20000030
False,,,6.971385368922327,135,2,-62.451336879685414,8.746797339305987,5.1719356420990135,False,150,20000031
False,,,4.693317446811498,144,2,-70.71280030620812,5.7645345954950304,5.300046880966807,False,150,20000032
False,,,64.57886666606225,0,0,0.22387526906939634,6.64422500217461,2.8294665652542665,False,150,20000033
True,61,1.22,15.027653215829524,3,2,13.115654902435313,7.180478313106706,0.9465366513983999,False,61,20000034
False,,,28.76956348812757,0,0,-0.272766300912366,9.967015174768125,7.092109466527608,False,150,20000035
False,,,23.200731794602184,0,0,3.1279767773511478,8.137592521658373,3.4246926238592597,False,150,20000036
False,,,15.2443257081602,0,0,-4.6386436794659245,7.812673585604763,9.710109969988325,False,150,20000037
False,,,34.51176492526232,0,0,2.253247020595242,7.970969881420623,4.256385957054454,False,150,20000038
False,,,17.19431992357829,98,23,-46.951631124907664,8.294181970430149,3.4280416858086538,False,150,20000039
False,,,32.06669678559775,0,0,1.8860755975372765,8.240074593481566,4.448959627327061,False,150,20000040
True,141,2.82,32.382768471500825,0,0,16.096550658921306,8.938223429553288,0.9756000457825973,False,141,20000041
False,,,21.48884879072065,0,0,5.100138196502018,8.651658428557704,1.6017134641714434,False,150,20000042
False,,,29.642865010079028,0,0,0.09263700679573826,10.328338801159004,8.012969689978862,False,150,20000043
