success,steps_to_target,time_to_target,distance_traveled,collision_ticks,collision_onsets,reward,initial_distance,final_distance,flipped,ticks,seed
False,,,38.21223249155029,63,10,-32.396114504656346,7.993510825064957,7.389625329721302,False,150,20000000
False,,,39.9869074509317,0,0,1.1277390867250696,9.119189125199199,6.491450038474143,False,150,20000001
False,,,4.797038526539549,140,2,-70.3823209547145,6.55992429772596,5.442245252440411,False,150,20000002
False,,,13.328646592747459,113,1,-53.25826635170351,9.445931800142175,4.704198151845696,False,150,20000003
False,,,39.07473935126635,0,0,-1.689250473209758,7.517713822544156,7.706964295753937,False,150,20000004
True,84,1.68,18.718261567067927,0,0,16.382098282712672,8.193424596630653,0.9713263139179805,False,84,20000005
False,,,14.481737438023968,113,1,-53.976722328482495,9.156783170103347,5.1335054985858175,False,150,20000006
False,,,6.139561200510594,143,2,-72.31862293052188,5.760341183484346,5.078964114006216,False,150,20000007
False,,,23.504349760321862,22,3,-13.0675844076752,7.934698796348548,8.502283204023747,False,150,20000008
False,,,4.143057073114971,144,1,-71.86255317079615,6.8294337522612905,5.191986923057432,False,150,20000009
True,133,2.66,24.469108375738585,1,1,15.570395135074046,8.30886444870778,0.9084693136337365,False,133,20000010
False,,,42.70856030290949,3,2,-1.7457399596437522,7.154461665732207,5.900201625375968,False,150,20000011
False,,,38.716630327410996,0,0,-0.4444691308791142,7.370961660971782,6.315430791850897,False,150,20000012
False,,,42.24680006408418,0,0,-6.322839140243882,8.298035193508717,13.12087433375262,False,150,20000013
False,,,37.71419793203735,11,1,-5.899165881939391,7.905915360485305,6.805081242424716,False,150,20000014
False,,,39.910037852371545,5,3,-1.8929435555965777,8.129587756147496,6.022531311744085,False,150,20000015
True,32,0.64,8.968486884473007,0,0,16.61037923955963,7.899733280425887,0.9693540408662572,False,32,20000016
False,,,37.341258750305414,50,5,-24.20861788237138,7.77029685122001,5.478914733591399,False,150,20000017
False,,,5.305608782843946,144,1,-71.99246851330268,5.567529177288772,4.05999769059145,False,150,20000018
False,,,27.01300082722947,70,2,-33.53265597922557,8.042937324292643,5.075593303518213,False,150,20000019
False,,,7.718664864532555,132,1,-63.166761474723586,8.794407458923494,4.461168933647062,False,150,20000020
False,,,23.940107458552152,132,13,-64.31133047925486,5.522545397832203,2.333875877087056,False,150,20000021
True,37,0.74,8.34680918684692,0,0,14.98495388813285,6.341596701968583,0.9866428138357343,False,37,20000022
False,,,26.68042074933619,104,12,-51.58977094864477,7.107377778680274,5.197148727325012,False,150,20000023
False,,,18.985016367929486,73,8,-33.76215761889265,8.511536606858057,4.273694225750687,False,150,20000024
False,,,39.99753501137703,0,0,-3.1293068512182955,8.583225837774748,10.212532688993067,False,150,20000025
False,,,35.11062589804622,57,3,-28.015360854107637,9.411821185002157,7.427182039109794,False,150,20000026
False,,,24.897196351585983,73,6,-35.71749227127778,7.244358577198519,4.961850848476291,False,150,20000027
False,,,29.85160467742939,132,2,-65.32856461582566,7.155834489444655,4.984399105270284,False,150,20000028
True,39,0.78,8.612351516020345,0,0,15.312593565901683,6.394811996052588,0.6922184301509056,False,39,20000029
False,,,42.96811193392924,17,2,-6.342413385064636,9.412168322226542,5.7545817072911865,False,150,20000030
False,,,7.702708633081279,133,2,-64.45757728075527,8.746797339305987,5.204374620061265,False,150,20000031
False,,,5.709346547860891,143,1,-71.6217555514078,5.7645345954950304,4.386290146902792,False,150,20000032
False,,,34.221872100012774,0,0,-0.8630541329756807,6.64422500217461,6.0072791351503065,False,150,20000033
True,72,1.44,16.128312058141987,0,0,15.677277159616423,7.180478313106706,0.7832011534902823,False,72,20000034
False,,,22.08684865062507,48,1,-20.98427897969245,9.967015174768125,5.451294154460569,False,150,20000035
False,,,35.02000986204573,24,2,-9.876047513180197,8.137592521658373,4.513640034838583,False,150,20000036
True,84,1.68,21.72318659293637,0,0,16.045114173584786,7.812673585604763,0.9275594120199834,False,84,20000037
False,,,39.80108633373714,0,0,-1.780500683860943,7.970969881420623,8.251470565281576,False,150,20000038
False,,,31.151033273978246,63,5,-30.678382981555142,8.294181970430149,5.972564951985304,False,150,20000039
False,,,22.132384859843395,55,1,-25.93491724785803,8.240074593481566,5.174991841339592,False,150,20000040
False,,,13.905303640698198,91,1,-44.617342501617465,8.938223429553288,6.555565931170725,False,150,20000041
False,,,41.50617686997214,0,0,-0.6078912291201406,8.651658428557704,7.759549657677862,False,150,20000042
False,,,33.20915697118956,24,4,-5.253708451243649,10.328338801159004,2.082047252402672,False,150,20000043
